month,day,Qin
8,31,0.14948250000000002
9,1,0.151629
9,2,0.14896700000000002
9,3,0.1464735
9,4,0.1444425
9,5,0.144377
9,6,0.1384955
9,7,0.136973
9,8,0.1339825
9,9,0.134989
9,10,0.135522
9,11,0.1328585
9,12,0.134042
9,13,0.13058399999999998
9,14,0.137772
9,15,0.13916699999999999
9,16,0.13863599999999998
9,17,0.13774799999999998
9,18,0.13750849999999998
9,19,0.1352135
9,20,0.132867
9,21,0.1399625
9,22,0.138632
9,23,0.135653
9,24,0.13458799999999999
9,25,0.14193899999999998
9,26,0.1395695
9,27,0.1396905
9,28,0.1496805
9,29,0.1573945
9,30,0.1501605
9,31,
10,1,0.222761
10,2,0.23039750000000003
10,3,0.2333515
10,4,0.2090765
10,5,0.21432400000000001
10,6,0.230184
10,7,0.2929755
10,8,0.28033949999999996
10,9,0.2895535
10,10,0.3458985
10,11,0.37026099999999995
10,12,0.3429565
10,13,0.3429685
10,14,0.32303950000000003
10,15,0.37069050000000003
10,16,0.340124
10,17,0.3233385
10,18,0.3463475
10,19,0.35907500000000003
10,20,0.362259
10,21,0.38676299999999997
10,22,0.3712985
10,23,0.42472699999999997
10,24,0.5298240000000001
10,25,0.49951450000000003
10,26,0.4504985
10,27,0.51092
10,28,0.536611
10,29,0.5592280000000001
10,30,0.6268885
10,31,0.591008
11,1,0.5778829999999999
11,2,0.560789
11,3,0.5617570000000001
11,4,0.5421225
11,5,0.5441750000000001
11,6,0.6678965
11,7,0.7674615
11,8,0.8264855
11,9,0.8112125
11,10,0.8331625
11,11,0.9023795
11,12,0.9410885
11,13,0.9613755
11,14,1.016246
11,15,0.9937535
11,16,0.9294835
11,17,0.948021
11,18,0.903932
11,19,0.8501799999999999
11,20,0.8732570000000001
11,21,0.8573305
11,22,0.8720549999999999
11,23,0.7938780000000001
11,24,0.8551435
11,25,0.8990805
11,26,1.0246865
11,27,0.9610865000000001
11,28,0.9610139999999999
11,29,1.0360445
11,30,1.008059
11,31,
12,1,1.052557
12,2,1.163757
12,3,1.2456625
12,4,1.2289245
12,5,1.2100125
12,6,1.2196365
12,7,1.2451880000000002
12,8,1.1979335
12,9,1.1474630000000001
12,10,1.155401
12,11,1.1445224999999999
12,12,1.2049105
12,13,1.11697
12,14,1.0940249999999998
12,15,1.0260265
12,16,0.9599345
12,17,1.026197
12,18,1.0516480000000001
12,19,1.1594655
12,20,1.1252815
12,21,1.1368045
12,22,1.0554005
12,23,1.015293
12,24,0.9394335
12,25,0.9566825
12,26,0.963766
12,27,0.975606
12,28,1.0037535000000002
12,29,1.0268955
12,30,0.9768565
12,31,0.916673
